square_footage,bedrooms,bathrooms,price_thousands
1201,3,2.8,456
1658,3,3.2,341
1940,2,1.5,236
1841,3,2.8,320
1940,3,2.8,532
928,1,1.0,157
969,2,1.5,302
1174,1,1.8,294
1716,2,2.5,285
1122,1,1.0,172
1495,3,2.8,369
1127,1,1.0,199
1306,2,2.5,435
1966,3,2.2,569
1294,2,1.5,386
1815,2,2.0,315
2897,1,1.0,391
1699,3,2.2,263
928,2,2.5,207
2161,5,3.8,734
1354,2,1.5,322
1792,3,2.8,443
1038,2,2.0,192
1521,2,2.0,326
1985,3,3.2,687
1206,2,2.0,386
1807,3,2.8,510
1465,3,3.2,346
1739,3,2.8,409
1379,2,1.5,545
1042,1,1.0,276
1775,3,2.8,434
1139,2,2.0,300
1063,1,1.8,305
1917,3,3.2,552
973,2,2.0,129
2095,5,3.8,609
2091,4,3.5,382
3611,1,1.8,961
1567,2,2.0,436
2064,6,4.5,557
1315,2,2.0,235
3372,1,2.5,700
1353,2,2.5,374
1676,2,2.0,401
1771,2,2.0,642
1457,2,2.5,334
1074,1,1.8,261
1618,3,2.8,406
1091,2,2.5,355
1775,2,2.5,478
985,1,1.2,184
2177,5,4.8,581
1686,3,2.8,605
1784,2,2.0,627
1104,1,1.0,304
1054,2,2.5,305
1559,2,2.5,333
1058,1,1.0,309
1854,3,3.2,452
947,7,6.2,537
1136,2,1.5,311
1421,3,2.2,326
1453,2,2.0,228
1228,2,2.0,431
2154,6,4.5,397
1841,2,1.5,320
1305,2,2.5,205
1743,3,2.2,476
1352,3,2.8,462
1851,2,2.5,420
1992,3,2.8,505
1085,1,1.2,201
1927,2,2.5,599
901,1,1.0,277
1751,3,2.8,452
1541,2,2.5,282
2072,6,5.5,728
1865,3,2.8,365
1398,3,2.2,401
1613,2,2.5,379
1016,1,1.2,191
1584,3,3.2,536
1045,2,2.0,267
969,2,1.5,266
744,1,1.0,138
1547,3,2.2,413
1682,3,2.8,532
1153,2,2.5,504
1778,2,2.5,452
1171,2,2.5,444
2152,6,4.5,716
1822,2,2.0,544
1584,3,3.2,674
2002,4,3.0,316
2044,5,3.8,566
1904,2,2.0,322
1781,2,2.0,334
1683,3,2.2,467
2015,5,4.2,695
1366,3,3.2,585
1123,1,1.2,330
2163,5,4.2,483
2157,4,3.5,578
1751,2,1.5,615
2084,6,4.5,652
1261,3,2.8,266
1524,3,2.8,507
933,2,2.0,289
1071,1,1.2,231
1372,2,2.0,411
1450,2,1.5,297
1210,2,2.5,428
1365,3,2.8,338
2187,4,4.0,492
1176,2,2.5,301
2123,6,5.5,541
993,2,2.5,327
1652,3,2.8,349
1125,1,1.2,271
1174,1,1.8,349
1661,3,2.8,566
2176,5,4.2,621
934,1,1.8,213
678,1,1.8,210
1669,3,2.2,431
2009,4,3.0,614
1929,3,2.2,540
1132,1,1.2,170
1447,3,2.8,354
1369,2,2.5,347
1606,2,1.5,347
2198,5,4.8,506
1588,3,2.8,430
920,2,2.5,325
1152,2,1.5,265
1776,2,2.0,521
1614,2,2.0,460
1621,3,2.8,419
1101,1,1.2,349
906,2,2.5,319
1102,2,2.5,287
900,2,2.5,280
1923,2,1.5,473
1129,1,1.2,345
1550,3,3.2,526
1367,3,2.8,354
1764,2,2.0,371
1278,3,3.2,415
1588,3,2.2,476
1067,2,2.0,375
1039,2,2.0,242
906,1,1.0,182
1047,2,2.0,302
1773,3,3.2,370
1350,3,2.8,326
1887,2,2.5,520
1561,2,2.0,234
958,2,1.5,248
1899,2,2.0,385
651,1,1.0,239
1091,1,1.8,408
2046,5,3.8,381
2072,4,3.5,565
1644,3,2.2,503
1514,2,2.0,362
954,2,2.0,311
981,2,1.5,217
1892,2,1.5,223
1385,2,2.0,359
1889,2,2.0,469
1042,2,2.5,423
1105,2,1.5,273
2170,5,4.8,535
1501,3,3.2,397
1758,2,1.5,410
984,1,1.0,176
2135,5,4.2,861
1199,2,2.0,239
2057,5,4.2,916
1082,2,2.5,199
939,2,2.5,272
1025,1,1.8,290
1807,2,1.5,286
1713,3,2.8,290
1661,3,3.2,376
737,1,2.5,118
1056,1,1.0,238
1536,3,2.8,445
1765,3,3.2,826
1085,2,1.5,268
2002,6,5.0,833
760,1,1.0,478
2078,5,4.8,774
1889,2,2.5,710
2023,6,4.5,642
2019,6,4.5,542
1681,3,2.8,603
1507,2,1.5,200
1175,2,2.0,261
1790,2,1.5,266
1674,2,2.5,445
946,1,1.2,122
1605,3,3.2,522
1568,3,3.2,341
1513,3,3.2,322
1871,2,1.5,251
1480,2,2.5,343
1129,2,2.0,348
2131,5,3.8,584
1533,3,2.2,275
1651,2,1.5,338
1690,2,1.5,336
1301,2,1.5,312
2174,4,3.5,556
1019,6,5.0,293
1903,3,2.8,351
1577,3,3.2,604
1113,2,2.5,243
1717,3,2.8,405
2806,6,5.0,712
1581,2,1.5,437
1021,2,2.5,163
988,1,1.8,135
1202,3,3.2,330
1697,3,2.8,360
1978,2,1.5,534
956,2,1.5,282
1003,2,2.0,405
1847,2,1.5,383
3642,6,5.5,650
1423,2,1.5,432
1023,1,1.8,307
1835,2,2.0,527
1332,2,1.5,385
1822,3,3.2,393
1697,2,1.5,373
1418,3,2.8,390
1210,3,2.2,457
1162,2,2.5,272
1824,2,1.5,632
1846,3,2.8,661
1734,2,1.5,432
1989,3,2.8,654
1492,2,1.5,339
2120,6,4.5,1017
2024,4,3.0,536
1977,3,2.2,572
1627,2,2.0,313
1862,2,2.5,441
1561,2,1.5,627
1408,3,2.8,371
1496,3,2.8,388
1247,2,2.0,360
2014,4,3.5,634
1550,2,2.0,406
1736,2,2.5,452
1084,2,1.5,163
1680,2,2.5,379
1231,2,2.0,249
1221,2,2.0,164
1431,3,3.2,324
1069,1,1.2,247
2156,5,4.8,680
2194,5,4.8,412
1102,2,2.0,298
1076,2,2.5,252
1421,2,2.0,258
1800,3,2.8,434
2014,4,3.5,560
1093,2,2.5,347
1350,2,1.5,227
1983,2,1.5,249
1274,3,3.2,415
2002,6,4.5,450
959,1,1.0,292
3253,7,6.2,796
1860,2,2.5,490
1175,1,1.2,191
1115,1,1.0,169
1827,2,1.5,539
1946,2,2.5,459
1357,2,2.0,378
1300,3,2.2,486
1377,2,2.5,317
1314,2,1.5,267
1911,3,2.8,415
2168,6,5.5,637
1315,3,2.2,277
1035,1,1.8,224
1762,2,2.5,550
1555,2,2.0,327
1116,2,1.5,182
1823,2,2.5,366
1413,2,2.0,411
1402,3,2.8,266
1592,2,2.0,225
1525,3,3.2,423
1921,3,3.2,657
1916,2,2.5,335
1015,1,1.8,221
1854,3,2.8,466
1865,2,2.0,311
1505,3,3.2,483
2061,6,5.5,549
1743,2,1.5,380
1518,2,2.0,351
1750,3,2.2,544
1560,2,2.5,472
1334,2,2.5,432
924,1,1.0,151
2042,4,4.0,800
1508,2,1.5,199
1258,2,2.5,335
1250,3,3.2,232
532,1,1.0,172
2021,4,4.0,606
1280,2,1.5,399
992,1,1.0,222
1786,2,1.5,385
1150,1,1.0,281
882,6,7.5,494
2120,6,4.5,526
1347,2,2.0,270
2179,6,5.5,363
1280,3,2.2,392
1305,3,2.2,550
1143,1,1.2,233
2082,5,4.8,424
1161,1,1.2,323
889,5,4.2,410
1639,2,2.0,496
1846,2,2.5,473
1038,2,1.5,204
1066,1,1.2,245
974,2,2.0,230
1024,2,2.0,246
1978,3,2.8,381
1518,3,2.2,315
976,2,2.5,229
1898,2,2.5,359
2086,6,5.0,645
1802,2,2.5,397
1427,2,2.5,329
930,1,1.8,311
1233,3,2.8,344
1511,3,3.2,511
1238,3,2.2,326
1066,1,1.0,299
1309,2,2.5,432
1296,2,2.0,342
1542,3,2.2,554
1226,3,2.8,299
1693,3,2.2,535
1424,2,1.5,279
1853,3,3.2,405
1582,3,2.2,345
1870,2,1.5,430
1767,2,2.5,379
1816,3,2.2,345
1984,3,2.8,466
1299,2,1.5,523
2059,4,3.0,345
1528,2,2.5,285
1582,2,2.0,415
988,2,2.0,410
923,2,2.0,194
1419,3,2.2,415
1702,2,2.5,588
946,1,1.8,265
750,1,1.8,167
1451,3,2.2,498
1444,2,1.5,320
1668,2,2.5,234
1605,2,2.5,678
2165,6,5.0,842
1018,1,1.2,308
2079,6,5.0,991
1121,2,1.5,260
1984,2,2.0,348
1594,2,2.5,334
1005,2,2.5,278
1551,2,2.0,200
962,1,1.8,185
1480,3,2.2,391
3217,7,6.2,588
1418,3,2.2,350
1737,2,2.0,435
2507,6,5.5,754
2067,6,5.0,908
1333,3,2.2,281
1513,3,2.2,254
1521,2,2.0,250
1750,2,2.5,494
1736,3,2.8,396
2077,6,4.5,539
1942,3,2.2,246
1656,3,2.8,415
1167,1,1.8,252
1851,3,2.8,337
2016,4,4.0,358
1087,2,2.5,507
1289,2,1.5,282
1225,3,2.8,531
1152,2,1.5,300
1849,3,2.2,488
2111,5,4.2,586
1414,3,3.2,363
1973,3,2.8,494
1146,2,2.0,473
1513,3,2.2,601
2983,7,5.8,547
1152,2,2.0,315
1672,3,3.2,667
625,7,6.2,618
1310,3,2.8,220
1945,3,2.8,263
1396,3,2.8,398
2075,4,3.5,540
1795,3,2.2,428
1680,2,2.0,220
1313,2,1.5,228
1273,2,2.5,472
1027,2,1.5,256
1091,1,1.8,198
1586,2,2.5,258
2046,5,4.2,693
2136,6,4.5,923
1013,2,1.5,320
2080,6,5.5,809
1083,1,1.8,214
3894,6,5.0,1574
1312,2,2.0,358
1301,3,3.2,372
2025,6,5.0,644
1053,2,1.5,409
1731,2,2.0,516
1407,3,2.8,539
1677,2,2.5,446
925,1,1.0,196
1162,2,1.5,208
1127,1,1.0,234
1769,2,2.0,369
1148,1,1.0,293
1024,2,1.5,362
2125,4,3.5,844
1931,2,2.5,853
913,2,1.5,288
1179,1,1.2,289
1958,3,3.2,561
1469,2,1.5,206
1834,2,1.5,252
1861,3,3.2,442
1076,1,1.2,291
1180,1,1.2,190
1862,2,2.5,688
1434,2,2.0,334
1538,3,3.2,445
1642,2,1.5,224
1967,3,2.2,534
2019,6,5.5,679
994,1,1.8,137
1820,2,2.0,457
2130,4,4.0,997
1616,3,3.2,283
1832,3,2.2,567
1220,2,2.5,416
2180,6,5.0,1005
1653,3,3.2,577
1930,3,2.2,623
1960,2,2.5,409
1550,2,2.0,234
2078,4,3.5,525
1959,2,2.5,569
1551,2,1.5,348
1928,3,2.8,429
1969,3,3.2,396
1185,1,1.8,195
989,2,2.0,336
1625,2,1.5,437
2059,4,3.5,589
1476,3,3.2,399
1348,3,2.2,552
1639,3,2.8,377
965,2,1.5,234
1821,2,2.5,521
1762,3,2.2,556
1345,3,2.8,589
979,1,1.0,317
2107,4,4.0,611
1044,1,1.8,280
1034,2,1.5,339
1072,1,1.2,223
2044,6,5.5,706
1845,3,2.8,785
1859,3,2.2,364
1835,3,2.8,274
1311,2,1.5,411
1871,3,2.2,695
1632,2,1.5,224
1962,3,2.2,423
918,2,1.5,186
1588,3,2.8,546
1711,3,2.8,496
1324,2,2.0,245
1230,3,2.8,354
3831,5,3.8,899
1291,2,2.0,256
1403,2,1.5,302
1827,2,1.5,337
2114,5,4.2,519
1054,2,1.5,328
1824,2,2.5,270
1586,2,2.0,642
1252,3,2.2,444
1927,2,2.0,336
1320,2,2.0,172
1216,2,2.0,454
905,1,1.8,227
1685,2,1.5,389
2130,5,4.8,897
1651,3,2.8,658
2096,6,4.5,528
1205,3,3.2,482
1696,3,2.8,206
914,1,1.0,206
2656,7,1.0,254
1638,2,2.5,270
1612,2,2.0,289
1168,2,1.5,359
1342,2,1.5,279
2177,5,4.2,783
1097,1,1.2,174
1115,1,1.2,327
1517,3,2.2,513
2174,5,4.2,985
1101,1,1.2,175
1565,2,2.5,469
1543,3,3.2,465
1322,3,3.2,271
1755,3,2.8,441
1927,3,3.2,305
1142,2,2.5,233
1304,2,2.5,286
1955,2,1.5,733
1665,2,2.0,436
1815,2,1.5,235
915,2,1.5,264
1952,3,3.2,264
945,1,1.8,334
1188,2,2.0,311
1681,2,2.0,343
1296,3,3.2,321
1428,3,3.2,497
1140,1,1.0,251
1842,2,1.5,385
1673,2,1.5,323
903,1,1.0,188
1891,3,2.8,523
1251,2,2.0,344
1837,3,2.2,426
1340,2,2.0,484
1263,2,1.5,303
2045,5,3.8,852
1459,3,2.2,328
1379,2,2.5,540
1377,3,2.8,389
956,2,1.5,320
2054,6,4.5,611
2160,6,5.5,1081
1999,3,2.8,564
2016,6,4.5,448
1947,2,2.5,519
1055,1,1.8,251
923,2,1.5,280
1553,2,1.5,370
1627,2,1.5,279
1280,3,2.8,449
1903,2,1.5,429
2180,6,5.5,649
2794,5,4.2,546
1281,2,2.5,395
2086,5,3.8,608
2696,6,7.5,856
1861,2,1.5,516
2027,6,5.0,741
1411,3,3.2,281
1463,3,3.2,262
2078,6,5.0,641
1635,3,3.2,427
1226,2,2.5,350
1389,3,2.8,315
1665,3,3.2,418
1981,3,2.2,307
1936,3,3.2,558
1066,1,1.8,270
1182,2,2.5,391
1366,2,2.5,334
1479,3,3.2,591
1961,3,2.8,454
1238,2,2.0,207
1888,2,2.0,699
1736,3,3.2,483
2003,4,3.5,597
3094,1,2.5,546
1738,3,2.2,635
1994,3,2.2,433
1724,3,3.2,545
1036,1,1.2,203
1133,2,1.5,293
2047,5,4.2,659
1755,2,2.0,187
1979,2,1.5,642
1423,3,3.2,707
1548,2,1.5,379
1356,3,2.2,275
1995,2,2.5,573
1856,2,2.0,593
1195,1,1.0,267
1827,3,3.2,553
1682,3,3.2,496
1076,2,1.5,279
1827,3,3.2,365
1539,3,2.2,471
2028,5,4.2,528
1009,1,1.2,194
2194,6,5.0,1097
1641,3,2.8,567
1539,2,1.5,308
1596,3,3.2,297
997,2,2.5,260
1196,2,2.5,435
1363,2,1.5,395
1047,2,2.0,221
1344,3,2.2,271
1560,2,2.5,325
2107,6,5.0,814
1350,2,2.0,428
1229,3,3.2,423
1087,2,2.0,390
1525,3,3.2,485
1748,3,2.8,879
1182,2,1.5,326
1146,1,1.0,125
972,2,2.0,263
1273,3,3.2,193
2127,4,4.0,806
1661,2,2.5,427
900,2,1.5,209
1236,2,1.5,238
958,2,1.5,305
2021,4,3.5,743
1670,3,2.8,292
1585,3,2.2,471
2126,5,4.8,522
2194,5,3.8,1128
1402,3,2.2,246
940,1,1.8,272
1020,1,1.2,204
2098,6,5.0,603
1525,2,2.0,456
999,1,1.8,314
1559,2,1.5,389
1733,3,3.2,728
917,2,2.0,222
3907,7,5.2,1332
1646,3,3.2,294
1032,2,2.0,329
1813,3,2.8,366
1772,2,2.0,637
1720,2,1.5,394
2090,5,4.2,750
1022,1,1.0,318
1559,2,2.0,376
1468,2,2.5,376
1862,3,3.2,399
1420,2,2.5,295
1201,2,2.0,225
2501,1,2.5,422
1062,2,1.5,245
1312,3,2.2,321
963,2,2.5,264
2099,6,5.5,684
2060,6,4.5,891
1339,2,1.5,242
1984,3,2.8,620
1441,2,2.5,265
2091,5,4.8,621
1502,3,2.8,492
1356,3,3.2,323
1677,2,2.0,606
1104,1,1.0,217
1106,2,2.0,258
1700,3,3.2,460
1575,3,3.2,393
1970,2,2.0,701
972,2,2.5,200
1692,3,2.8,382
1551,2,2.5,470
1425,3,2.2,415
2096,4,3.5,603
952,1,1.0,175
1895,3,2.2,348
2520,5,3.8,345
936,2,1.5,219
1988,2,1.5,391
1490,2,1.5,256
2562,5,6.5,856
1747,2,2.0,355
953,1,1.0,195
1130,2,2.5,167
2036,5,4.2,474
1220,2,2.0,431
1115,1,1.0,154
1638,3,2.8,488
1136,1,1.0,282
1373,2,1.5,376
1595,3,2.8,614
2062,6,4.5,843
1800,2,2.0,302
1280,3,2.2,271
1524,2,2.0,447
1772,2,2.0,386
2140,5,4.8,957
1790,3,2.8,228
1794,3,3.2,318
1685,3,3.2,270
1348,2,1.5,328
940,2,2.0,230
910,1,1.2,208
1760,2,2.0,402
1614,2,2.5,265
1559,3,2.2,522
1008,1,1.2,248
1797,2,2.5,327
1255,2,2.5,383
1214,3,2.8,379
1753,2,1.5,519
3985,5,4.8,1284
2008,4,4.0,502
1381,3,2.8,342
997,1,1.2,276
2131,5,3.8,654
1995,3,2.8,436
1860,2,2.5,343
1139,1,1.2,205
1610,2,2.5,325
2106,4,3.0,545
2039,5,3.8,424
1872,2,2.5,438
1936,3,2.2,396
1458,2,2.0,444
974,1,1.8,237
1041,1,1.0,263
1398,2,2.0,372
1376,2,2.5,441
1118,1,1.8,220
1956,2,1.5,372
2025,6,5.5,766
1208,3,3.2,370
1010,1,1.8,161
1177,1,1.0,297
1907,2,2.0,433
563,1,1.2,516
964,2,1.5,326
2011,6,5.0,734
1466,3,3.2,369
1495,3,3.2,239
2017,6,5.5,611
1311,3,3.2,295
1004,1,1.0,180
1669,2,2.5,490
1664,2,2.0,445
1914,3,3.2,294
1783,2,2.0,475
1967,2,2.0,419
1786,2,2.5,481
1127,2,2.0,187
1597,3,2.2,557
1202,2,2.0,363
1658,2,2.0,399
1385,3,3.2,367
910,2,2.0,313
1232,3,2.2,381
1592,3,3.2,605
1068,2,1.5,455
986,2,2.0,361
1980,3,2.8,253
1808,2,1.5,459
2198,5,4.2,885
946,2,2.5,266
1997,3,2.2,555
1145,1,1.8,312
978,2,2.5,191
1603,2,2.5,217
1748,2,1.5,283
1898,2,2.0,531
2182,4,3.5,602
1060,1,1.0,160
2082,6,5.5,945
1754,2,1.5,350
1405,2,2.5,446
1109,1,1.8,151
2195,4,4.0,413
1905,3,3.2,526
1828,3,2.2,474
1007,1,1.8,366
1742,2,2.5,759
1618,2,2.0,368
1275,3,2.2,410
1728,2,2.5,614
1335,3,3.2,450
1670,2,2.5,604
1371,2,2.5,314
1828,2,1.5,420
1731,3,2.8,426
1072,6,4.5,464
1626,3,3.2,526
990,1,1.8,155
1362,2,2.5,461
2036,6,5.0,808
3057,1,1.8,394
1568,3,2.2,207
1320,3,2.8,565
1184,1,1.2,227
1996,2,1.5,537
1238,3,2.2,445
940,1,1.2,260
1616,2,2.0,597
3679,7,6.2,2035
2003,5,4.2,914
2111,5,4.8,734
1137,1,1.2,218
1428,3,3.2,456
1400,3,2.8,398
1214,3,3.2,415
2035,4,3.5,389
2121,4,3.5,748
1668,3,2.2,307
750,1,1.8,199
1223,2,2.0,253
2047,5,4.2,600
1252,3,2.2,470
1115,1,1.8,356
1460,3,2.8,371
1959,3,2.2,494
843,6,4.5,651
1148,2,2.0,584
1410,2,1.5,274
1616,3,2.8,427
1700,2,2.0,422
1716,3,3.2,309
1821,3,2.8,449
3814,1,1.8,576
1243,2,2.0,291
1866,2,2.5,404
1261,2,2.0,345
1911,2,2.0,529
1830,2,1.5,442
1752,2,2.5,430
1903,3,2.8,598
1457,3,2.2,464
2042,5,4.8,590
1728,2,2.5,595
1713,3,2.2,420
1958,3,2.8,485
988,2,2.5,254
2132,6,4.5,596
1583,2,1.5,455
2070,5,4.2,654
1772,3,3.2,552
1092,2,2.0,404
1580,2,2.5,498
1969,3,2.2,497
2074,4,4.0,586
1649,3,2.2,364
1853,3,2.2,520
1833,3,3.2,537
1991,2,1.5,503
1239,3,2.2,356
1717,3,3.2,497
960,1,1.8,205
1429,2,2.0,373
2075,4,4.0,571
528,7,1.0,201
1471,3,2.8,255
1754,3,2.2,373
1558,3,2.2,612
1107,1,1.2,172
1361,2,2.0,434
1851,3,2.8,608
1256,3,3.2,228
2154,4,3.0,588
1921,2,1.5,412
1159,1,1.2,301
1374,2,1.5,385
1630,2,1.5,284
1188,1,1.8,196
1894,3,3.2,546
1903,2,2.5,275
1921,2,1.5,351
904,2,2.0,289
1544,3,2.8,370
1019,1,1.0,199
2056,4,4.0,780
1710,2,2.0,337
1224,3,2.2,278
1704,3,3.2,690
1006,1,1.8,350
1046,1,1.2,321
915,2,2.0,171
1906,2,2.5,528
1044,2,2.0,337
2055,4,3.0,668
989,2,1.5,268
978,5,6.5,723
1771,3,2.8,403
1402,2,1.5,293
1766,3,2.8,715
1507,2,1.5,297
1031,1,1.2,262
1462,2,1.5,320
982,1,1.2,290
2155,5,4.2,510
1239,3,3.2,399
1247,2,1.5,281
2050,4,3.0,478
1949,2,1.5,444
958,2,2.0,244
1236,2,2.0,278
1471,2,2.0,413
2127,6,5.5,916
1309,2,1.5,254
1974,3,3.2,614
1863,2,2.5,378
672,7,5.2,301
1765,3,2.2,420
1863,3,2.2,556
2063,5,4.2,801
2161,5,4.8,550
920,1,1.8,272
1901,2,2.0,349
3634,5,4.2,799
1638,3,3.2,523
951,1,1.8,204
2159,4,3.5,864
1453,3,2.2,445
1999,3,2.8,383
2137,5,4.2,651
1951,3,2.8,542
1323,2,2.0,394
988,2,2.5,267
1315,2,1.5,179
